iter	RMSE	MAE
3015	7936.754476	4439.760267
3020	7936.715116	4439.6984
3025	7936.674105	4439.6376
3030	7936.63502	4439.577067
3035	7936.595935	4439.516267
3040	7936.554923	4439.454933
3045	7936.515286	4439.3944
3050	7936.475926	4439.3328
3055	7936.43739	4439.271467
3060	7936.396928	4439.2104
3065	7936.357016	4439.149333
3070	7936.317654	4439.087733
3075	7936.278017	4439.026667
3080	7936.238654	4438.9656
3085	7936.199292	4438.904533
3090	7936.159379	4438.8424
3095	7936.118365	4438.780533
3100	7936.079277	4438.7192
3105	7936.040189	4438.657333
3110	7936	4438.5968
3115	7935.961187	4438.535733
3120	7935.920447	4438.475733
3125	7935.881909	4438.414133
3130	7935.841719	4438.353333
3135	7935.802355	4438.292533
3140	7935.76299	4438.231733
3145	7935.722799	4438.170133
3150	7935.683985	4438.109333
3155	7935.643519	4438.047733
3160	7935.603052	4437.9864
3165	7935.564237	4437.924533
3170	7935.524872	4437.8632
3175	7935.484405	4437.802133
3180	7935.44669	4437.741067
3185	7935.405948	4437.678933
3190	7935.364929	4437.617867
3195	7935.326113	4437.557333
3200	7935.286471	4437.496
3205	7935.248205	4437.434133
3210	7935.208563	4437.373333
3215	7935.165892	4437.312533
3220	7935.12735	4437.250667
3225	7935.088808	4437.1896
3230	7935.049715	4437.127733
3235	7935.010622	4437.0672
3240	7934.968776	4437.006667
3245	7934.929683	4436.9464
3250	7934.890314	4436.8848
3255	7934.851495	4436.822933
3260	7934.8113	4436.762667
3265	7934.772206	4436.701333
3270	7934.731735	4436.64
3275	7934.691539	4436.579467
3280	7934.652995	4436.5176
3285	7934.612249	4436.4568
3290	7934.573429	4436.394933
3295	7934.533508	4436.334133
3300	7934.494963	4436.273067
3305	7934.453664	4436.212
3310	7934.414293	4436.150933
3315	7934.374922	4436.089333
3320	7934.335	4436.028
3325	7934.295628	4435.9672
3330	7934.256531	4435.906133
3335	7934.216333	4435.8448
3340	7934.176685	4435.782933
3345	7934.137863	4435.7224
3350	7934.097114	4435.6608
3355	7934.057465	4435.598933
3360	7934.018092	4435.537867
3365	7933.979545	4435.476
3370	7933.93907	4435.4152
3375	7933.899146	4435.353867
3380	7933.859221	4435.292533
3385	7933.820397	4435.231467
3390	7933.781298	4435.170667
3395	7933.739996	4435.109067
3400	7933.700346	4435.048267
3405	7933.661522	4434.986933
3410	7933.623248	4434.926667
3415	7933.581946	4434.865867
3420	7933.54257	4434.805333
3425	7933.50347	4434.743733
3430	7933.463818	4434.6832
3435	7933.424167	4434.621333
3440	7933.383414	4434.559467
3445	7933.344588	4434.4984
3450	7933.306313	4434.437067
3455	7933.264182	4434.3752
3460	7933.224805	4434.3144
3465	7933.186529	4434.253067
3470	7933.147702	4434.192
3475	7933.108049	4434.131467
3480	7933.066469	4434.0704
3485	7933.027641	4434.0088
3490	7932.987712	4433.948533
3495	7932.948609	4433.886667
3500	7932.908404	4433.825333
3505	7932.869301	4433.764267
3510	7932.829922	4433.702667
3515	7932.789716	4433.6408
3520	7932.750612	4433.580533
3525	7932.711783	4433.519467
3530	7932.670751	4433.459467
3535	7932.631922	4433.3984
3540	7932.591991	4433.3376
3545	7932.55261	4433.276267
3550	7932.51323	4433.2152
3555	7932.473023	4433.153867
3560	7932.433366	4433.0928
3565	7932.394536	4433.030933
3570	7932.354604	4432.970133
3575	7932.315773	4432.908533
3580	7932.275289	4432.847733
3585	7932.236183	4432.7864
3590	7932.195699	4432.725333
3595	7932.157694	4432.664
3600	7932.117209	4432.603467
3605	7932.077276	4432.542933
3610	7932.038443	4432.4816
3615	7931.997132	4432.421867
3620	7931.958851	4432.359733
3625	7931.918365	4432.298133
3630	7931.879532	4432.237867
3635	7931.839598	4432.176267
3640	7931.800489	4432.115467
3645	7931.760554	4432.054667
3650	7931.721995	4431.993067
3655	7931.681784	4431.931733
3660	7931.641848	4431.870667
3665	7931.602739	4431.8112
3670	7931.563353	4431.749867
3675	7931.523142	4431.688
3680	7931.483205	4431.626667
3685	7931.443819	4431.565067
3690	7931.403882	4431.504533
3695	7931.365873	4431.444267
3700	7931.324558	4431.382133
3705	7931.285722	4431.3208
3710	7931.245785	4431.260267
3715	7931.207775	4431.1992
3720	7931.166459	4431.138667
3725	7931.127347	4431.078133
3730	7931.086858	4431.0168
3735	7931.048021	4430.956
3740	7931.007806	4430.894133
3745	7930.968693	4430.834667
3750	7930.928754	4430.774133
3755	7930.889641	4430.7128
3760	7930.849701	4430.6512
3765	7930.810587	4430.590933
3770	7930.770647	4430.530133
3775	7930.731808	4430.469067
3780	7930.691592	4430.407733
3785	7930.652753	4430.346667
3790	7930.611986	4430.285067
3795	7930.573698	4430.225067
3800	7930.53293	4430.164267
3805	7930.49409	4430.102667
3810	7930.454148	4430.041333
3815	7930.415859	4429.98
3820	7930.373989	4429.918667
3825	7930.335148	4429.8576
3830	7930.296307	4429.795733
3835	7930.257191	4429.735733
3840	7930.217523	4429.6752
3845	7930.177305	4429.613867
3850	7930.13626	4429.552533
3855	7930.09852	4429.491733
3860	7930.059402	4429.431467
3865	7930.018356	4429.370667
3870	7929.979514	4429.3104
3875	7929.939845	4429.2496
3880	7929.901278	4429.1888
3885	7929.860507	4429.127733
3890	7929.821939	4429.066133
3895	7929.781443	4429.004
3900	7929.742875	4428.944267
3905	7929.702654	4428.884533
3910	7929.662984	4428.822933
3915	7929.623038	4428.762667
3920	7929.583367	4428.7008
3925	7929.544523	4428.639467
3930	7929.505127	4428.5784
3935	7929.464629	4428.517333
3940	7929.426335	4428.456267
3945	7929.385011	4428.396267
3950	7929.347267	4428.335467
3955	7929.307871	4428.274133
3960	7929.26875	4428.2136
3965	7929.2277	4428.152267
3970	7929.188027	4428.092
3975	7929.14863	4428.0312
3980	7929.11061	4427.969867
3985	7929.069008	4427.908533
3990	7929.030712	4427.847467
3995	7928.991314	4427.785867
4000	7928.951089	4427.725867
4005	7928.91169	4427.6656
4010	7928.872292	4427.604533
4015	7928.833719	4427.544
4020	7928.793218	4427.4832
4025	7928.752992	4427.422133
4030	7928.712766	4427.360267
4035	7928.675295	4427.299733
4040	7928.635069	4427.237867
4045	7928.594842	4427.1784
4050	7928.555717	4427.1176
4055	7928.516041	4427.055467
4060	7928.477467	4426.995467
4065	7928.436688	4426.933867
4070	7928.397287	4426.873333
4075	7928.358713	4426.8128
4080	7928.31876	4426.751733
4085	7928.278807	4426.691733
4090	7928.239405	4426.6312
4095	7928.199452	4426.569867
4100	7928.16005	4426.508
4105	7928.120923	4426.446933
4110	7928.080694	4426.386133
4115	7928.041567	4426.326133
4120	7928.002163	4426.2648
4125	7927.961658	4426.203733
4130	7927.923081	4426.142133
4135	7927.883953	4426.081333
4140	7927.845652	4426.021333
4145	7927.804319	4425.9592
4150	7927.764363	4425.899467
4155	7927.725786	4425.839467
4160	7927.686105	4425.778133
4165	7927.647252	4425.717333
4170	7927.60702	4425.656267
4175	7927.566512	4425.595467
4180	7927.527107	4425.534933
4185	7927.488253	4425.473867
4190	7927.449122	4425.412267
4195	7927.409441	4425.351467
4200	7927.37031	4425.290933
4205	7927.329801	4425.229333
